propid,name,simbad,title,bibcode,author,fa,altnames
14260,WASP-29,WASP-29,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['2MASS J23513108-3954241' 'CD-40 15273' 'CF 20489'
 'DENIS J235131.0-395423' 'GSC 08015-01020' 'Gaia DR1 6534414715022481536'
 'Gaia DR2 6534414719318224512' 'TIC 183537452' 'TYC 8015-1020-1'
 'UCAC2  14964655' 'UCAC3 101-436827' 'WASP-29']"
12473,WASP-31,WASP-31,signatures of nitrogen chemistry in hot jupiter atmospheres,2017ApJ...850L..15M,"['MacDonald, Ryan J.', 'Madhusudhan, Nikku']",J. MacDonald Ryan,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,sset: spatially-scanned spectra of exoplanet transits,2012AAS...21924114M,"['McCullough, Peter R.', 'Berta, Z. K.', 'Howard, A. W.', 'MacKenty, J. W.', 'WFC3 Team']",McCullough Peter R.,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,access: confirmation of no potassium in the atmosphere of wasp-31b,2020AJ....160..230M,"['McGruder, Chima D.', 'López-Morales, Mercedes', 'Espinoza, Néstor', 'Rackham, Benjamin V.', 'Apai, Dániel', 'Jordán, Andrés', 'Osip, David J.', 'Alam, Munazza K.', 'Bixel, Alex', 'Fortney, Jonathan J.', 'Henry, Gregory W.', 'Kirk, James', 'Lewis, Nikole K.', 'Rodler, Florian', 'Weaver, Ian C.']",Chima D. McGruder,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12473,WASP-31,WASP-31,"vizier online data catalog: wasp-31b:hst/spitzer transmission spectral survey (sing+, 2015)",2017yCat..74462428S,"['Sing, D. K.', 'Wakeford, H. R.', 'Showman, A. P.', 'Nikolov, N.', 'Fortney, J. J.', 'Burrows, A. S.', 'Ballester, G. E.', 'Deming, D.', 'Aigrain, S.', 'Desert, J. -M.', 'Gibson, N. P.', 'Henry, G. W.', 'Knutson, H.', 'Lecavelier Des Etangs, A.', 'Pont, F.', 'Vidal-Madjar, A.', 'Williamson, M. W.', 'Wilson, P. A.']",D. K. Sing,"['** WSP   31A' '2MASS J11174536-1903171' 'GSC 06087-01053'
 'Gaia DR2 3545873945303316224' 'SPOCS 2783' 'TIC 437248515'
 'TYC 6087-1053-1' 'UCAC2  24347991' 'UCAC3 142-137538'
 'USNO-B1.0 0709-00239208' 'WASP-31' 'WDS J11178-1903A']"
12495,WASP-33,WASP-33,estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression,2019MNRAS.489..941P,"['Pass, Emily K.', 'Cowan, Nicolas B.', 'Cubillos, Patricio E.', 'Sklar, Jack G.']",Emily K. Pass,"['1SWASP J022651.05+373301.7' '2MASS J02265106+3733017' 'AG+37  282'
 'BD+36   489' 'GEN# +1.00015082' 'GPM  36.712745+37.550502' 'GPM1  84'
 'GSC 02831-00594' 'Gaia DR1 328636019723252096'
 'Gaia DR2 328636019723252096' 'HD  15082' 'HIC  11397' 'HIP  11397'
 'PPM  67341' 'Pul -3  190002' 'Renson 3750' 'SAO  55561' 'TD1  1417'
 'TIC 129979528' 'TYC 2831-594-1' 'WASP-33' 'uvby98 100015082']"
