simbad,propid,name,pi_l,pi_f,date,ra,dec,mode,nfiles,title,bibcode,altnames,simbad,jd
GJ   324 A,14453,55-CNC,Dragomir,Diana,2016-04-13,133.1467034313,28.32977133636,WFC3 IR G141,608,"['computations of the viscoelastic response of a 3-d compressible earth to surface loading: an application to glacial isostatic adjustment in antarctica and canada', 'a reconciled estimate of ice-sheet mass balance', 'isotopic composition of precipitation in italy: a first overall map', 'holoviz/panel: version 0.11.0', 'jpfairbanks/semanticmodels.jl: release v0.3.0', 'a global model: empirical orthogonal function analysis of total electron content 1999-2009 data', 'analyzing the hemispheric asymmetry in the thermospheric density response to geomagnetic storms', 'extraction of the gluon density of the proton at x', 'spatio-temporal variation of vegetation coverage and its response to climate change in north china plain in the last 33 years', 'fiber bragg grating period reconstruction using time-frequency signal analysis and application to distributed sensing', 'riverine export and the effects of circulation on dissolved organic carbon in the hudson bay system, canada', 'spatial variation of correlations between vertical soil water and evapotranspiration and their controlling factors in a semi-arid region', 'a global gridded dataset of grace drought severity index for 2002-14: comparison with pdsi and spei and a case study of the australia millennium drought', 'the effects of laterally varying icy shell structure on the tidal response of ganymede and europa', 'expansion in the width and collective dynamics of a domain wall', 'late mesozoic-cenozoic evolution of the sanjiang basin in ne china and its tectonic implications for the west pacific continental margin', 'nonlinearly realized local scale invariance: gravity and matter', 'entropy squeezing and atomic inversion in the k-photon jaynes—cummings model in the presence of the stark shift and a kerr medium: a full nonlinear approach', 'derepression of ethylene-stabilized transcription factors (ein3/eil1) mediates jasmonate and ethylene signaling synergy in arabidopsis', 'clay mineralogy of the nickel laterite ore developed from serpentinised peridotites at murrin murrin, western australia', 'collective band structures in the neutron-rich <sup>107,109</sup>ru nuclei', 'reflection asymmetric shapes in the neutron-rich <sup>140,143</sup>ba isotopes', 'deformed photon-added entangled squeezed vacuum and one-photon states: entanglement, polarization, and nonclassical properties', 'synthesis of thin bundled single walled carbon nanotubes and nanohorn hybrids by arc discharge technique in open air atmosphere', 'the results of extirpation of the anterior lobe of the hypophysis and of the thyroid of rana pipiens larvae', 'impact of changes in grace derived terrestrial water storage on vegetation growth in eurasia', '5 years of gps observations of the afar triplejunction area', 'activated carbon nanospheres derived from bio-waste materials for supercapacitor applications – a review', 'satellite-observed changes in vegetation sensitivities to surface soil moisture and total water storage variations since the 2011 texas drought', 'single-step absorption and phase retrieval with polychromatic x rays using a spectral detector', 'flow and heat transfer of a nanofluid over a hyperbolically stretching sheet', 'nature and origin of the submarine albany canyons off southwest australia', 'spectral absorption coefficient of photosynthetically active pigments in the equatorial pacific ocean (165°11 150°w)', 'a benchmark study of numerical implementations of the sea level equation in gia modelling', 'observation of negative line tensions from plateau border regions in dry foam films', 'vertical variations of soil water and its controlling factors based on the structural equation model in a semi-arid grassland', 'some continuous analogs of expansion in jacobi polynomials and vector valued hypergeometric orthogonal bases', 'a new standard of light', 'removal of phenol, bisphenol a, and 4-tert-butylphenol from synthetic landfill leachate by vertical flow constructed wetlands', 'detrital zircon u-pb geochronology and stratigraphy of the cretaceous sanjiang basin in ne china: provenance record of an abrupt tectonic switch in the mode and nature of the ne asian continental margin evolution', 'powerful quasi-steady-state plasma accelerator for fusion experiments', 'controls of carbon flux in a semi-arid grassland ecosystem experiencing wetland loss: vegetation patterns and environmental variables', 'importance of uniaxial compression for the appearance of superconductivity in ndo<sub>1-x</sub>f<sub>x</sub>bis<sub>2</sub>', 'satellite detection of varying seasonal water supply restrictions on grassland productivity in the missouri basin, usa', 'stratification response of soil water content during rainfall events under different rainfall patterns', 'polydopamine nanotube mediated fluorescent biosensor for hg(ii) determination through exonuclease iii-assisted signal amplification', 'growth and characterization of zno multipods on functional surfaces with different sizes and shapes of ag particles', 'removal of heavy metals from synthetic landfill leachate in lab-scale vertical flow constructed wetlands', 'maximum spin aligned states in <sup>98</sup> <sub>47</sub>ag<sub>51</sub>', 'privacy guidelines for contact tracing applications']","['2013GeoJI.192..557A', '2012Sci...338.1183S', '2003JHyd..270...75A', '2021zndo...4573728R', '2020zndo...3800254J', '2012JGRA..117.3328A', '2012JGRA..117.8317A', '1995PhLB..345..576D', '2016IJAEO..53..103A', '2001JLwT...19..646A', '2010LimOc..55..315A', '2019JHyd..574...53A', '2017JHyMe..18.2117Z', '2014JGRE..119..659A', '1998NuPhB.509..273A', '2012JAESc..49..287Z', '2004PhLB..584..133D', '2014ChPhB..23g4203H', '2011PNAS..10812539Z', '2005AuJES..52..231A', '1998ChPhL..15..793Z', '1997ChPhL..14..569Z', '2016ChPhB..25d0303A', '2015DRM....55...12A', '1916Sci....44..755A', '2015ERL....10l4024A', '1999JGeo...28..225A', '2015RSCAd...588339A', '2017ERL....12e4006A', '2013OptL...38.1461G', '2014ChPhB..23g4401A', '2005AuJES..52..101N', '1997DSRII..44.1881D', '2018GeoJI.215..389M', '2004PMagL..84..199G', '2019ScTEn.691.1016A', '2003math......9445A', '1879Natur..21..158A', '2017ScTEn.578..566A', '2015Tectp.665...58Z', '2002BrJPh..32..165T', '2018AgFM..259..196F', '2014JPhCS.507a2033A', '2020RSEnv.239k1623A', '2018HyPr...32.3128A', '2018Ana...143.2623A', '2013ChPhB..22h8103A', '2017ScTEn.584..742A', '1998EPJA....1....7C', '2020arXiv200413328S']","['*  55 Cn' '* rho Cn' '* rho01 Cn' '** LDS 6219A'
 '2MASS J08523579+2819509' 'AG+28  954' 'AKARI-IRC-V1 J0852355+281949'
 'ASCC  678466' 'BD+28  1660' 'BD+28  1660A' 'CSI+28  1660  1'
 'Ci 20  494' 'GC 12244' 'GCRV  5843' 'GEN# +1.00075732A' 'GJ   324 A'
 'Gaia DR2 704967037090946688' 'HD  75732' 'HIC  43587' 'HIP  43587'
 'HR  3522' 'IRAS 08496+2831' 'JP11  1727' 'LFT  609' 'LHS  2062'
 'LSPM J0852+2819' 'LTT 12310' 'N30 2085' 'NAME Copernicus' 'NLTT 20414'
 'PLX 2117' 'PM 08496+2831' 'PM 08496+2831A' 'PPM  99117' 'SAO  80478'
 'SKY# 17095' 'SPOCS  407' 'TIC 332064670' 'TYC 1949-2012-1' 'UBV    8589'
 'UBV M  14808' 'USNO-B1.0 1183-00181854' 'WDS J08526+2820A' 'WEB  8400'
 'WISEA J085235.41+281948.5' 'YPAC 155' 'YZ  28  4722' '[B10]  2380'
 'uvby98 100075732 A']",GJ   324 A,2457491.5
WASP-29,14260,WASP-29,Deming,Drake,2016-04-15,357.8792483385,-39.90714585933,WFC3 IR G141,75,"['an hst optical-to-near-ir transmission spectrum of the hot jupiter wasp-19b: detection of atmospheric water and likely absence of tio', 'global climate and atmospheric composition of the ultra-hot jupiter wasp-103b from hst and spitzer phase curve observations']","['2013MNRAS.434.3252H', '2018AJ....156...17K']","['2MASS J23513108-3954241' 'CD-40 15273' 'CF 20489'
 'DENIS J235131.0-395423' 'GSC 08015-01020' 'Gaia DR1 6534414715022481536'
 'Gaia DR2 6534414719318224512' 'TIC 183537452' 'TYC 8015-1020-1'
 'UCAC2  14964655' 'UCAC3 101-436827' 'WASP-29']",WASP-29,2457493.5
HAT-P-26,14260,HAT-P-26,Deming,Drake,2016-05-02,213.1564278652,4.059378615043,WFC3 IR G141,150,,,,,2457510.5
K2-18,13665,EPIC201912552,Benneke,Bjorn,2016-05-19,172.5600532846,7.5877867586,WFC3 IR G141,285,"['disentangling atmospheric compositions of k2-18 b with next generation facilities', 'jexosim 2.0: end-to-end jwst simulator for exoplanet spectroscopy - implementation and case studies', 'water vapor and clouds on the habitable-zone sub-neptune exoplanet k2-18b']","['2021ExA...tmp..120C', '2021MNRAS.508..433S', '2019ApJ...887L..14B']","['2MASS J11301450+0735180' 'EPIC 201912552' 'Gaia DR2 3910747531814692736'
 'K2-18' 'Karmn J11302+076' 'PM J11302+0735' 'TIC 388804061'
 'UCAC4 488-054338']",K2-18,2457527.5
WASP-80,14260,WASP-80,Deming,Drake,2016-06-21,303.1675,-2.144222222222,WFC3 IR G141,75,['the impact of non-uniform thermal structure on the interpretation of exoplanet emission spectra'],['2016ApJ...829...52F'],"['1SWASP J201240.26-020838.2' '2MASS J20124017-0208391' 'BPM 80815'
 'GSC 05165-00481' 'Gaia DR2 4223507222112425344' 'NAME Petra'
 'StKM 2-1435' 'TIC 243921117' 'TYC 5165-481-1' 'UCAC4 440-112755'
 'WASP-80']",WASP-80,2457560.5
HAT-P-3,14260,HAT-P-3,Deming,Drake,2016-06-28,206.0940103733,48.0285590036,WFC3 IR G141,178,"['hubble space telescope hot jupiter transmission spectral survey: a detection of na and strong optical absorption in hat-p-1b', 'near-ir transmission spectrum of hat-p-32b using hst/wfc3', 'a near-infrared transmission spectrum for the warm saturn hat-p-12b', 'hubble pancet: an isothermal day-side atmosphere for the bloated gas-giant hat-p-32ab', 'the influence of nonuniform cloud cover on transit transmission spectra', 'hst hot jupiter transmission spectral survey: detection of water in hat-p-1b from wfc3 near-ir spatial scan observations', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the hubble pancet program: a metal-rich atmosphere for the inflated hot jupiter hat-p-41b', 'diagnosing clouds and hazes in exoplanet atmospheres', 'atmospheric characterization of giant exoplanets in extreme environments']","['2014MNRAS.437...46N', '2017AJ....154...39D', '2013ApJ...778..183L', '2018MNRAS.474.1705N', '2016ApJ...820...78L', '2013MNRAS.435.3481W', '2019MNRAS.489..941P', '2021AJ....161...51S', '2015PhDT........66F', '2017PhDT.......144W']","['1SWASP J134422.58+480143.2' '2MASS J13442258+4801432' 'GSC 03466-00819'
 'Gaia DR1 1510191590256382976' 'Gaia DR2 1510191594552968832' 'HAT-P-3'
 'NAME Dombay' 'TIC 311035838' 'TYC 3466-819-1']",HAT-P-3,2457567.5
K2-24,14455,EPIC-2037B,Petigura,Erik,2016-07-05,242.5734017477,-24.99063322564,WFC3 IR G141,188,,,,,2457574.5
WASP-39,14169,GSC-04980-00761,Wakeford,Hannah,2016-07-08,217.3266411676,-3.444481113805,WFC3 IR G102,85,"['the complete transmission spectrum of wasp-39b with a precise water constraint', 'indications for very high metallicity and absence of methane in the eccentric exo-saturn wasp-117b']","['2018AJ....155...29W', '2021A&A...646A.168C']","['1SWASP J142918.42-032640.1' '2MASS J14291840-0326403'
 'DENIS J142918.4-032639' 'GSC 04980-00761' 'Gaia DR2 3643098875168270592'
 'NAME Malmok' 'PPMX J142918.4-032640' 'RAVE J142918.5-032640'
 'TIC 181949561' 'UCAC2  30708677' 'UCAC3 174-135354' 'WASP-39']",WASP-39,2457577.5
HAT-P-26,14110,HAT-P-26,Sing,David,2016-08-16,213.1565851877,4.059369754751,WFC3 IR G102,90,,,,,2457616.5
WASP-69,14260,WASP-69,Deming,Drake,2016-08-16,315.0259793898,-5.094904487636,WFC3 IR G141,95,['probing the atmosphere of wasp-69 b with low- and high-resolution transmission spectroscopy'],['2021arXiv210906335K'],"['2MASS J21000618-0505398' 'BD-05  5432' 'GSC 05200-01560'
 'Gaia DR1 6910753012357203968' 'Gaia DR2 6910753016653587840'
 'PPM 204700' 'TIC 248853232' 'TYC 5200-1560-1' 'WASP-69']",WASP-69,2457616.5
